2024_10_22,Fossil hard coal,0.09671644
2024_10_22,Fossil oil,0.0057329084
2024_10_22,Fossil gas,0.114979
2024_10_22,Others,0.0034194815
2024_10_22,Waste non-renewable,0.010942341
2024_10_21,Waste renewable,0.0109021915
2024_10_21,Hydro Run-of-River,0.04953625
2024_10_21,Hydro water reservoir,0.0034401345
2024_10_21,Biomass,0.08758852
2024_10_21,Wind offshore,0.08146711
2024_10_21,Wind onshore,0.27117196
2024_10_21,Solar,0.09360876
2024_10_21,Geothermal,0.00031197298
2024_10_21,Fossil brown coal / lignite,0.18550588
2024_10_21,Fossil hard coal,0.07956998
2024_10_21,Fossil oil,0.0049915677
2024_10_21,Fossil gas,0.11645867
2024_10_21,Others,0.003288364
2024_10_21,Waste non-renewable,0.012158515
2024_10_20,Waste renewable,0.013660599
2024_10_20,Hydro Run-of-River,0.06413857
2024_10_20,Hydro water reservoir,0.0009464618
2024_10_20,Biomass,0.11268154
2024_10_20,Wind offshore,0.09103911
2024_10_20,Wind onshore,0.35307232
2024_10_20,Solar,0.12254577
2024_10_20,Geothermal,0.00038910098
2024_10_20,Fossil brown coal / lignite,0.119769484
2024_10_20,Fossil hard coal,0.0264799
2024_10_20,Fossil oil,0.006067872
2024_10_20,Fossil gas,0.07065864
2024_10_20,Others,0.0033231329
2024_10_20,Waste non-renewable,0.015227519
2024_10_19,Waste renewable,0.014695997
2024_10_19,Hydro Run-of-River,0.07115014
2024_10_19,Hydro water reservoir,0.0047269138
2024_10_19,Biomass,0.12006585
2024_10_19,Wind offshore,0.047616374
2024_10_19,Wind onshore,0.21314797
2024_10_19,Solar,0.10225592
2024_10_19,Geothermal,0.00041444506
2024_10_19,Fossil brown coal / lignite,0.261134
2024_10_19,Fossil hard coal,0.038173754
2024_10_19,Fossil oil,0.0065079075
2024_10_19,Fossil gas,0.09916438
2024_10_19,Others,0.0045588957
2024_10_19,Waste non-renewable,0.016387383
2024_10_18,Waste renewable,0.012910243
2024_10_18,Hydro Run-of-River,0.06330249
2024_10_18,Hydro water reservoir,0.0066162483
2024_10_18,Biomass,0.10844806
2024_10_18,Wind offshore,0.018489242
2024_10_18,Wind onshore,0.10753165
2024_10_18,Solar,0.11572895
2024_10_18,Geothermal,0.00037260453
2024_10_18,Fossil brown coal / lignite,0.28908068
2024_10_18,Fossil hard coal,0.112697765
2024_10_18,Fossil oil,0.007653498
2024_10_18,Fossil gas,0.1386693
2024_10_18,Others,0.00410872
2024_10_18,Waste non-renewable,0.014390591
2024_10_17,Waste renewable,0.011184314
2024_10_17,Hydro Run-of-River,0.050829526
2024_10_17,Hydro water reservoir,0.0027857455
2024_10_17,Biomass,0.08841643
2024_10_17,Wind offshore,0.07237153
2024_10_17,Wind onshore,0.28832054
2024_10_17,Solar,0.12989676
2024_10_17,Geothermal,0.00030585338
2024_10_17,Fossil brown coal / lignite,0.16941796
2024_10_17,Fossil hard coal,0.059740603
2024_10_17,Fossil oil,0.004711795
2024_10_17,Fossil gas,0.106362574
2024_10_17,Others,0.0031825283
2024_10_17,Waste non-renewable,0.012473858
2024_10_16,Waste renewable,0.009420268
2024_10_16,Hydro Run-of-River,0.044701364
2024_10_16,Hydro water reservoir,0.0018395032
2024_10_16,Biomass,0.07625316
2024_10_16,Wind offshore,0.058497645
2024_10_16,Wind onshore,0.4382401
2024_10_16,Solar,0.122348525
2024_10_16,Geothermal,0.0002658657
2024_10_16,Fossil brown coal / lignite,0.09531645
2024_10_16,Fossil hard coal,0.04896959
2024_10_16,Fossil oil,0.0041963668
2024_10_16,Fossil gas,0.08697402
2024_10_16,Others,0.0024718326
2024_10_16,Waste non-renewable,0.010505288
2024_10_15,Waste renewable,0.012223914
2024_10_15,Hydro Run-of-River,0.057063166
2024_10_15,Hydro water reservoir,0.005259656
2024_10_15,Biomass,0.09694357
2024_10_15,Wind offshore,0.049442593
2024_10_15,Wind onshore,0.1730673
2024_10_15,Solar,0.12797281
2024_10_15,Geothermal,0.0003372743
2024_10_15,Fossil brown coal / lignite,0.23956503
2024_10_15,Fossil hard coal,0.0959044
2024_10_15,Fossil oil,0.00549666
2024_10_15,Fossil gas,0.11912163
2024_10_15,Others,0.0039743674
2024_10_15,Waste non-renewable,0.013627705
2024_10_14,Waste renewable,0.0126820775
2024_10_14,Hydro Run-of-River,0.060485918
2024_10_14,Hydro water reservoir,0.0059520467
2024_10_14,Biomass,0.10005063
2024_10_14,Wind offshore,0.036480892
2024_10_14,Wind onshore,0.17401536
2024_10_14,Solar,0.09274882
2024_10_14,Geothermal,0.0003468122
2024_10_14,Fossil brown coal / lignite,0.212474
2024_10_14,Fossil hard coal,0.11802862
2024_10_14,Fossil oil,0.005886434
2024_10_14,Fossil gas,0.16263616
2024_10_14,Others,0.0040680133
2024_10_14,Waste non-renewable,0.0141443135
2024_10_13,Waste renewable,0.008491265
2024_10_13,Hydro Run-of-River,0.04629523
2024_10_13,Hydro water reservoir,0.00062078994
2024_10_13,Biomass,0.07589336
2024_10_13,Wind offshore,0.063513234
2024_10_13,Wind onshore,0.54767233
2024_10_13,Solar,0.08824494
2024_10_13,Geothermal,0.00026401412
2024_10_13,Fossil brown coal / lignite,0.07673535
2024_10_13,Fossil hard coal,0.03370818
2024_10_13,Fossil oil,0.0040529734
2024_10_13,Fossil gas,0.04282737
2024_10_13,Others,0.00221201
2024_10_13,Waste non-renewable,0.009468831
2024_10_12,Waste renewable,0.012158229
2024_10_12,Hydro Run-of-River,0.061010644
2024_10_12,Hydro water reservoir,0.0021567973
2024_10_12,Biomass,0.10064418
2024_10_12,Wind offshore,0.11749774
2024_10_12,Wind onshore,0.3120294
2024_10_12,Solar,0.15215918
2024_10_12,Geothermal,0.000353104
2024_10_12,Fossil brown coal / lignite,0.13048624
2024_10_12,Fossil hard coal,0.026358737
2024_10_12,Fossil oil,0.0056782938
2024_10_12,Fossil gas,0.062270366
2024_10_12,Others,0.00364556
2024_10_12,Waste non-renewable,0.013551558
2024_10_11,Waste renewable,0.0119987205
2024_10_11,Hydro Run-of-River,0.053389862
2024_10_11,Hydro water reservoir,0.0044084187
2024_10_11,Biomass,0.091688
2024_10_11,Wind offshore,0.12124929
2024_10_11,Wind onshore,0.19264612
2024_10_11,Solar,0.1417271
2024_10_11,Geothermal,0.0003288538
2024_10_11,Fossil brown coal / lignite,0.2049648
2024_10_11,Fossil hard coal,0.0538787
2024_10_11,Fossil oil,0.007839164
2024_10_11,Fossil gas,0.098825015
2024_10_11,Others,0.0036796073
2024_10_11,Waste non-renewable,0.013376351
2024_10_10,Waste renewable,0.009997346
2024_10_10,Hydro Run-of-River,0.045367323
2024_10_10,Hydro water reservoir,0.0030037551
2024_10_10,Biomass,0.07777146
2024_10_10,Wind offshore,0.067349344
2024_10_10,Wind onshore,0.4675087
2024_10_10,Solar,0.06573369
2024_10_10,Geothermal,0.00028065388
